Erva Doce,NM69,Aquacolor,142,170,119,#8EAA77
Flamingo,NM68,Aquacolor,192,75,102,#C04B66
Púrpura,NM64,Aquacolor,178,55,75,#B2374B
Pêssego,NM50,Aquacolor,199,167,118,#C7A776
Rosa Britney,NM39,Aquacolor,195,143,145,#C38F91
Rosa Velho,NM37,Aquacolor,132,94,73,#845E49
Verde Bandeira,NM19,Aquacolor,2,102,78,#02664E
Azul Jolie,NM33,Aquacolor,81,152,196,#5198C4
Amarelo Bebê,NM32,Aquacolor,239,242,195,#EFF2C3
Cinza,NM30,Aquacolor,120,120,122,#78787A
Verde Limão,NM22,Aquacolor,124,146,9,#7C9209
Verde Musgo,NM18,Aquacolor,4,61,42,#043D2A
Azul Outono,NM17,Aquacolor,15,41,64,#0F2940
Magenta,NM14,Aquacolor,147,52,94,#93345E
Chiclete,NM13,Aquacolor,223,152,166,#DF98A6
Amarelo Gema,NM46,Aquacolor,247,189,1,#F7BD01
Amarelo Sol,NM02,Aquacolor,220,209,120,#DCD178
Caramelo,NM06,Aquacolor,114,91,41,#725B29
Jambo,NM07,Aquacolor,101,69,44,#65452C
Orquídea,NM10,Aquacolor,82,59,137,#523B89
Verde Capim,NM40,Aquacolor,45,144,64,#2D9040
Azul Basílica,NM43,Aquacolor,51,98,118,#336276
Verde Pistache,NM56,Aquacolor,45,137,100,#2D8964
Azul Ártico,NM58,Aquacolor,3,11,84,#030B54
Azul Petróleo,NM59,Aquacolor,0,2,40,#000228
Azul Fanny,NM42,Aquacolor,74,163,169,#4AA3A9
Verde Folha,NM20,Aquacolor,11,118,50,#0B7632
Bege Rosê,NM53,Aquacolor,164,145,112,#A49170
Verde Turquesa,NM54,Aquacolor,7,141,106,#078D6A
Verde Fantasma,NM55,Aquacolor,67,166,119,#43A677
Marrom Mistério,NM70,Aquacolor,108,55,71,#6C3747
Cappucino,NM63,Aquacolor,245,245,245,#F5F5F5
OFFWhite,NM61,Aquacolor,218,218,206,#DADACE
Verde Besouro,NM60,Aquacolor,1,90,94,#015A5E
Verde Primavera,NM51,Aquacolor,7,145,33,#079121
Salmão,NM49,Aquacolor,245,194,151,#F5C297
Abóbora,NM46,Aquacolor,247,189,1,#F7BD01
Cherry,NM41,Aquacolor,204,166,119,#CCA677
Branco,NM29,Aquacolor,234,234,234,#EAEAEA
Preto,NM27,,Aquacolor,55,54,52,#373634
Azul Marinho,NM16,Aquacolor,245,245,245,#F5F5F5
Vermelho Lumen,NM16,Aquacolor,218,59,55,#DA3B37
Ocre,NM05,Aquacolor,201,169,86,#C9A956
Amarelo Canário,NM03,Aquacolor,245,245,245,#F5F5F5
Acqua Marine,,Aquacolor,0,94,119,#005E77
Vinho,NM48,Aquacolor,84,16,39,#541027
Laranja Coral,NM47,Aquacolor,192,83,50,#C05332
Bege Glacê,,Aquacolor,229,215,169,#E5D7A9
Verde Oliva,NM44,Aquacolor,76,101,44,#4C652C
Rosa Coral,NM38,Aquacolor,166,99,106,#A6636A
Verde Basílico,NM21,Aquacolor,2,93,26,#025D1A
Verde Glacial,NM66,Aquacolor,31,111,110,#1F6F6E
Bege Claro,,Aquacolor,228,216,188,#E4D8BC
Bege Mestiço,NM28,Aquacolor,203,191,151,#CBBF97
Orange,NM26,Aquacolor,188,105,1,#BC6901
Vermelho Bordô,NM25,Aquacolor,98,33,27,#62211B
Azul Turquesa,NM24,Aquacolor,47,95,131,#2F5F83
Escarlate,NM15,Aquacolor,118,15,44,#760F2C
Uva,NM11,Aquacolor,42,23,79,#2A174F
Marfim,NM04,Aquacolor,196,197,163,#C4C5A3
Marrom Chocolate,NM08,Aquacolor,74,46,24,#4A2E18
Lilás Baby,NM09,Aquacolor,153,135,187,#9987BB
Bege Natural,NM35,Aquacolor,173,159,124,#AD9F7C
Marrom,NM82,Aquacolor,95,48,4,#5F3004
Marrom Café,NM57,Aquacolor,82,49,8,#523108
Azul Lumen,NM34,Aquacolor,1,178,254,#01B2FE
Cinza Escuro,NM31,Aquacolor,69,69,69,#454545
